eta,chi_mean,chi_error,N
4.000000,0.420217,0.023985,300
4.033333,0.572967,0.157222,300
4.066667,0.449878,0.026092,300
4.100000,0.423241,0.050438,300
4.133333,0.425785,0.025994,300
4.166667,0.502271,0.023785,300
4.200000,0.466568,0.039413,300
4.233333,0.513553,0.055191,300
4.266667,0.540655,0.055378,300
4.300000,0.526445,0.053295,300
4.333333,0.698242,0.101032,300
4.366667,0.702126,0.134832,300
4.400000,0.567071,0.041207,300
4.433333,0.683120,0.064434,300
4.466667,0.983556,0.227851,300
4.500000,0.723061,0.087794,300
4.533333,0.889694,0.134293,300
4.566667,0.986377,0.145854,300
4.600000,1.417391,0.136064,300
4.633333,0.976351,0.160575,300
4.666667,1.191812,0.111646,300
4.700000,1.087028,0.158271,300
4.733333,1.253317,0.108534,300
4.766667,1.123833,0.095302,300
4.800000,1.316281,0.104361,300
4.600000,0.877757,0.085972,300
4.637500,1.110335,0.093108,300
4.675000,1.164250,0.135091,300
4.712500,1.226634,0.138546,300
4.750000,1.232574,0.145748,300
4.787500,1.126018,0.084167,300
4.825000,1.028394,0.111809,300
4.862500,1.091274,0.123494,300
4.900000,0.995078,0.086412,300
4.937500,0.964430,0.066304,300
4.975000,0.840722,0.066366,300
5.012500,0.885323,0.066229,300
5.050000,0.702297,0.022930,300
5.087500,0.735219,0.017262,300
5.125000,0.661479,0.024026,300
5.162500,0.527741,0.047699,300
5.200000,0.604335,0.025474,300
5.237500,0.514302,0.021360,300
5.275000,0.531319,0.004351,300
5.312500,0.435982,0.018386,300
5.350000,0.382430,0.016001,300
5.387500,0.391636,0.026666,300
5.425000,0.385396,0.020085,300
5.462500,0.354443,0.009818,300
5.500000,0.331075,0.017071,300
4.600000,1.243537,0.276201,300
4.612500,1.057258,0.116712,300
4.625000,0.879895,0.163369,300
4.637500,1.179828,0.186539,300
4.650000,1.074992,0.163688,300
4.662500,1.032013,0.079309,300
4.675000,1.115756,0.073520,300
4.687500,1.055659,0.099556,300
4.700000,1.164512,0.145326,300
4.712500,1.004635,0.108768,300
4.725000,1.229076,0.091228,300
4.737500,1.096544,0.080321,300
4.750000,1.261488,0.140825,300
4.762500,1.259921,0.098594,300
4.775000,1.049036,0.095516,300
4.787500,1.155847,0.108875,300
4.800000,1.078875,0.073571,300
4.812500,1.210612,0.070826,300
4.825000,1.108249,0.060885,300
4.837500,1.045120,0.049987,300
4.850000,1.303498,0.071329,300
4.862500,1.085318,0.047169,300
4.875000,1.041085,0.067741,300
4.887500,1.105273,0.065534,300
4.900000,1.023629,0.083204,300
4.300000,0.571934,0.070141,300
4.310759,0.555508,0.041688,300
4.321519,0.715655,0.133488,300
4.332278,0.546550,0.041686,300
4.343038,0.531861,0.038214,300
4.353797,0.631734,0.063480,300
4.364557,0.634813,0.057734,300
4.375316,0.672496,0.095212,300
4.386076,0.677873,0.068705,300
4.396835,0.733300,0.120163,300
4.407595,1.014650,0.311073,300
4.418354,0.614062,0.059175,300
4.429114,0.616950,0.052420,300
4.439873,0.846800,0.113891,300
4.450633,0.622735,0.051122,300
4.461392,0.993042,0.322008,300
4.472152,0.798083,0.112076,300
4.482911,0.561381,0.041645,300
4.493671,0.834756,0.064603,300
4.504430,0.683138,0.105551,300
4.515190,1.098014,0.304857,300
4.525949,0.828765,0.156792,300
4.536709,0.927027,0.061398,300
4.547468,0.899741,0.114819,300
4.558228,0.736140,0.074934,300
4.568987,0.910971,0.082655,300
4.579747,1.137840,0.092594,300
4.590506,1.120823,0.280194,300
4.601266,1.166946,0.128941,300
4.612025,0.815192,0.041046,300
4.622785,1.258079,0.132252,300
4.633544,0.985591,0.140950,300
4.644304,1.086522,0.111989,300
4.655063,1.029008,0.142819,300
4.665823,1.189269,0.123100,300
4.676582,1.121952,0.150634,300
4.687342,1.321474,0.112489,300
4.698101,1.063349,0.111001,300
4.708861,1.022495,0.118992,300
4.719620,1.328416,0.095976,300
4.730380,1.188628,0.114839,300
4.741139,1.178184,0.111357,300
4.751899,1.196996,0.126713,300
4.762658,1.091043,0.055739,300
4.773418,1.168897,0.090079,300
4.784177,1.355595,0.134943,300
4.794937,1.011406,0.092839,300
4.805696,1.082097,0.090531,300
4.816456,1.089527,0.076165,300
4.827215,1.151834,0.038343,300
4.837975,1.081510,0.046277,300
4.848734,1.234565,0.043713,300
4.859494,1.033080,0.068146,300
4.870253,0.988242,0.042051,300
4.881013,1.031626,0.035466,300
4.891772,1.015796,0.032821,300
4.902532,0.931995,0.052449,300
4.913291,1.084307,0.043101,300
4.924051,0.975708,0.055015,300
4.934810,0.942309,0.044179,300
4.945570,0.970507,0.028018,300
4.956329,0.896347,0.043378,300
4.967089,0.940003,0.035272,300
4.977848,0.941128,0.055334,300
4.988608,0.866422,0.022316,300
4.999367,0.905011,0.052886,300
5.010127,0.838522,0.066698,300
5.020886,0.792032,0.031626,300
5.031646,0.797208,0.029059,300
5.042405,0.772762,0.017932,300
5.053165,0.731441,0.026068,300
5.063924,0.756062,0.037938,300
